Fonctions,Poids w,Longueur,Sommets traités,Itérations
h0,1,inf,1791,1790
h0,10000,inf,1053,1052
h0,100000,inf,1053,1052
h0,1000000,inf,1053,1052
h,1,inf,1564,1563
h,10000,inf,1050,1049
h,100000,inf,1050,1049
h,1000000,inf,1050,1049
h1,1,inf,1062,1061
h1,10000,inf,1053,1052
h1,100000,inf,1053,1052
h1,1000000,inf,1053,1052
h2,1,inf,1850,1849
h2,10000,inf,1134,1133
h2,100000,inf,1134,1133
h2,1000000,inf,1134,1133
h3,1,inf,1062,1061
h3,10000,inf,1039,1038
h3,100000,inf,1039,1038
h3,1000000,inf,1039,1038
h4,1,154.81,2320,2319
h4,10000,169.46,940,939
h4,100000,inf,658,657
h4,1000000,inf,649,648
h5,1,154.81,2320,2319
h5,10000,inf,1134,1133
h5,100000,inf,1050,1049
h5,1000000,inf,1050,1049
h6,1,154.81,2320,2319
h6,10000,inf,1157,1156
h6,100000,inf,1072,1071
h6,1000000,inf,1072,1071
