Fonctions,Poids w,Longueur,Sommets traités,Itérations
h0,1,150.81,1330,1329
h0,10000,155.98,991,990
h0,100000,155.98,991,990
h0,1000000,155.98,991,990
h,1,150.81,1200,1199
h,10000,151.64,983,982
h,100000,151.64,983,982
h,1000000,151.64,983,982
h1,1,155.98,997,996
h1,10000,155.98,991,990
h1,100000,155.98,991,990
h1,1000000,155.98,991,990
h2,1,150.81,1431,1430
h2,10000,158.43,1032,1031
h2,100000,158.43,1032,1031
h2,1000000,158.43,1032,1031
h3,1,151.64,1097,1096
h3,10000,152.23,1073,1072
h3,100000,152.23,1073,1072
h3,1000000,152.23,1073,1072
h4,1,150.81,1916,1915
h4,10000,161.94,1739,1738
h4,100000,161.94,1687,1686
h4,1000000,161.94,1687,1686
h5,1,150.81,1915,1914
h5,10000,159.10,1393,1392
h5,100000,159.10,1384,1383
h5,1000000,159.10,1393,1392
h6,1,150.81,1915,1914
h6,10000,163.70,1043,1042
h6,100000,163.70,1043,1042
h6,1000000,163.70,1043,1042
